	label	label_color	node	branch_id	branch_id_alias	branch_lam	branch_dist	S0_pseudotime	S3_pseudotime	S2_pseudotime	S5_pseudotime	S4_pseudotime	S1_pseudotime
HSPC_751	LTHSC	#40bdbd	4	(83, 1)	('S1', 'S0')	0.0030022761821571586	0.00010403583407379364	0.013384757387182838	0.025765928782119932	0.01608533629419984	0.036094120902919476	0.03659694542591934	0.0030022761821571586
HSPC_757	LMPP	#7c5246	54	(83, 1)	('S1', 'S0')	0.013581055441289833	0.00042556565006422037	0.002805978128050165	0.01518714952298726	0.005506557035067166	0.025515341643786802	0.026018166166786667	0.013581055441289833
LT-HSC_193	LTHSC	#40bdbd	3	(83, 1)	('S1', 'S0')	0.003894644178148933	0.0004105654792271403	0.012492389391191065	0.02487356078612816	0.015192968298208067	0.0352017529069277	0.03570457742992757	0.003894644178148933
HSPC_721	LMPP	#7c5246	24	(83, 1)	('S1', 'S0')	0.009434838797995995	0.00025791607177193097	0.006952194771344003	0.019333366166281098	0.009652773678361003	0.02966155828708064	0.030164382810080506	0.009434838797995995
HSPC_734	MPP3	#bd4040	63	(83, 1)	('S1', 'S0')	0.014797870685487106	0.00045299819279300625	0.0015891628838528918	0.013970334278789987	0.004289741790869893	0.02429852639958953	0.024801350922589394	0.014797870685487106
HSPC_746	MPP3	#bd4040	25	(83, 1)	('S1', 'S0')	0.012434024054088519	0.0005078144593494685	0.003953009515251479	0.016334180910188574	0.00665358842226848	0.026662373030988118	0.027165197553987983	0.012434024054088519
HSPC_752	MPP	#eea113	57	(83, 1)	('S1', 'S0')	0.014023622552214891	0.0004807342454136607	0.002363411017125106	0.014744582412062201	0.005063989924142107	0.025072774532861743	0.025575599055861608	0.014023622552214891
HSPC_758	MPP3	#bd4040	63	(83, 1)	('S1', 'S0')	0.015091882682823424	0.0002883375588775261	0.0012951508865165738	0.013676322281453669	0.003995729793533575	0.02400451440225321	0.024507338925253076	0.015091882682823424
LT-HSC_194	LTHSC	#40bdbd	83	(83, 1)	('S1', 'S0')	0.0009398982576205917	1.9520246349755553e-05	0.015447135311719406	0.0278283067066565	0.018147714218736406	0.038156498827456045	0.03865932335045591	0.0009398982576205917
HSPC_722	LTHSC	#40bdbd	31	(83, 1)	('S1', 'S0')	0.008517088143945558	0.0008709184234186703	0.00786994542539444	0.020251116820331535	0.01057052433241144	0.030579308941131075	0.03108213346413094	0.008517088143945558
HSPC_729	LTHSC	#40bdbd	40	(83, 1)	('S1', 'S0')	0.0024062338297402377	0.0005043616444072569	0.01398079973959976	0.026361971134536855	0.01668137864661676	0.036690163255336396	0.03719298777833626	0.0024062338297402377
HSPC_735	MPP	#eea113	10	(83, 1)	('S1', 'S0')	0.004845980406043738	0.00039778393679691567	0.01154105316329626	0.023922224558233354	0.01424163207031326	0.0342504166790329	0.03475324120203276	0.004845980406043738
HSPC_747	MPP2	#000000	17	(83, 1)	('S1', 'S0')	0.007045194092214989	8.728984203683544e-05	0.009341839477125007	0.021723010872062104	0.012042418384142009	0.03205120299286164	0.032554027515861506	0.007045194092214989
HSPC_753	LMPP	#7c5246	46	(83, 1)	('S1', 'S0')	0.012882469368920485	0.00033532583082468724	0.0035045642004195125	0.01588573559535661	0.0062051431074365134	0.02621392771615615	0.026716752239156014	0.012882469368920485
HSPC_759	LTHSC	#40bdbd	10	(83, 1)	('S1', 'S0')	0.0049517743961848765	0.00040964055751194044	0.011435259173155122	0.02381643056809222	0.014135838080172124	0.03414462268889176	0.03464744721189163	0.0049517743961848765
LT-HSC_195	LTHSC	#40bdbd	40	(83, 1)	('S1', 'S0')	0.0025527385706125773	0.0001455735245468492	0.01383429499872742	0.026215466393664517	0.016534873905744422	0.03654365851446406	0.037046483037463926	0.0025527385706125773
HSPC_723	MPP3	#bd4040	57	(83, 1)	('S1', 'S0')	0.014294088557196907	8.644141795814958e-05	0.002092945012143091	0.014474116407080186	0.004793523919160092	0.024802308527879728	0.025305133050879593	0.014294088557196907
HSPC_730	MPP3	#bd4040	57	(83, 1)	('S1', 'S0')	0.014058203627925505	0.0006644659346820771	0.0023288299414144925	0.014710001336351588	0.005029408848431493	0.02503819345715113	0.025541017980150994	0.014058203627925505
HSPC_736	LTHSC	#40bdbd	17	(83, 1)	('S1', 'S0')	0.0072431902974306964	0.000772903424062209	0.009143843271909301	0.021525014666846396	0.011844422178926301	0.03185320678764594	0.0323560313106458	0.0072431902974306964
HSPC_742	MPP1	#db721b	4	(83, 1)	('S1', 'S0')	0.0033940789975367433	5.8811128275868846e-05	0.012992954571803255	0.025374125966740352	0.015693533478820257	0.03570231808753989	0.03620514261053975	0.0033940789975367433
HSPC_748	LMPP	#7c5246	72	(83, 1)	('S1', 'S0')	0.015580706291487317	0.00043554582344449805	0.0008063272778526809	0.013187498672789776	0.003506906184869682	0.023515690793589318	0.024018515316589183	0.015580706291487317
HSPC_760	LTHSC	#40bdbd	47	(83, 1)	('S1', 'S0')	0.0022779001521683303	2.3188475671111507e-05	0.014109133417171668	0.02649030481210876	0.01680971232418867	0.036818496932908305	0.03732132145590817	0.0022779001521683303
HSPC_724	LTHSC	#40bdbd	4	(83, 1)	('S1', 'S0')	0.003084992598401028	0.00019892797658073214	0.01330204097093897	0.025683212365876062	0.01600261987795597	0.036011404486675606	0.03651422900967547	0.003084992598401028
HSPC_731	LMPP	#7c5246	25	(83, 1)	('S1', 'S0')	0.012062908507593952	0.000688163230948007	0.004324125061746046	0.01670529645668314	0.0070247039687630465	0.02703348857748268	0.027536313100482546	0.012062908507593952
HSPC_737	MPP3	#bd4040	22	(83, 1)	('S1', 'S0')	0.007807322443020175	0.00019580329132035197	0.008579711126319823	0.02096088252125692	0.011280290033336825	0.031289074642056464	0.03179189916505633	0.007807322443020175
HSPC_743	LMPP	#7c5246	57	(83, 1)	('S1', 'S0')	0.01416074903192038	0.00020220686627539145	0.0022262845374196177	0.014607455932356713	0.004926863444436619	0.024935648053156255	0.02543847257615612	0.01416074903192038
HSPC_749	LMPP	#7c5246	40	(83, 1)	('S1', 'S0')	0.0025533539900502457	0.00014963439325250247	0.013833679579289751	0.026214850974226846	0.01653425848630675	0.03654304309502639	0.03704586761802625	0.0025533539900502457
HSPC_755	LMPP	#7c5246	57	(83, 1)	('S1', 'S0')	0.014199139905321734	0.00044082385168176083	0.0021878936640182638	0.014569065058955359	0.004888472571035265	0.0248972571797549	0.025400081702754766	0.014199139905321734
HSPC_761	MPP	#eea113	3	(83, 1)	('S1', 'S0')	0.0038483549763794066	0.0002722696917219737	0.012538678592960591	0.024919849987897688	0.015239257499977593	0.035248042108697225	0.03575086663169709	0.0038483549763794066
LT-HSC_197	LTHSC	#40bdbd	40	(83, 1)	('S1', 'S0')	0.002383208506594465	0.0001700045095292304	0.014003825062745532	0.02638499645768263	0.016704403969762534	0.03671318857848217	0.03721601310148204	0.002383208506594465
HSPC_725	LMPP	#7c5246	12	(83, 1)	('S1', 'S0')	0.0063054215483294125	0.00041494326195583574	0.010081612021010586	0.02246278341594768	0.012782190928027588	0.03279097553674722	0.03329380005974709	0.0063054215483294125
HSPC_732	MPP1	#db721b	12	(83, 1)	('S1', 'S0')	0.005389572437756941	0.0005245231321943844	0.010997461131583057	0.02337863252652015	0.013698040038600059	0.033706824647319694	0.03420964917031956	0.005389572437756941
HSPC_738	MPP1	#db721b	47	(83, 1)	('S1', 'S0')	0.002288117716740901	0.0001388224302857532	0.014098915852599096	0.026480087247536192	0.016799494759616097	0.036808279368335736	0.0373111038913356	0.002288117716740901
HSPC_744	LTHSC	#40bdbd	17	(83, 1)	('S1', 'S0')	0.007150212036559212	0.00055756652991532	0.009236821532780786	0.02161799292771788	0.011937400439797786	0.03194618504851742	0.032449009571517286	0.007150212036559212
HSPC_750	MPP	#eea113	29	(83, 1)	('S1', 'S0')	0.011322665873450094	0.0005663316665178361	0.005064367695889903	0.017445539090826998	0.007764946602906904	0.02777373121162654	0.028276555734626403	0.011322665873450094
HSPC_756	LMPP	#7c5246	54	(83, 1)	('S1', 'S0')	0.013859947520046142	0.0009374819608664953	0.002527086049293855	0.01490825744423095	0.005227664956310856	0.025236449565030492	0.025739274088030357	0.013859947520046142
HSPC_762	LMPP	#7c5246	10	(83, 1)	('S1', 'S0')	0.004894782465631919	0.00034117536530068904	0.011492251103708079	0.023873422498645172	0.01419283001072508	0.034201614619444716	0.03470443914244458	0.004894782465631919
LT-HSC_198	LTHSC	#40bdbd	10	(83, 1)	('S1', 'S0')	0.004900909640046387	0.0003317543152073567	0.011486123929293612	0.02386729532423071	0.014186702836310613	0.034195487445030245	0.03469831196803011	0.004900909640046387
Prog_727	GMP	#10b460	79	(82, 6)	('S4', 'S3')	0.010269279527206856	0.0010691351435543558	0.012942908511529645	0.0005617371165925495	0.015643487418546646	0.010889929237392092	0.010269279527206856	0.029329942080869642
Prog_733	CMP	#d84f40	24	(83, 1)	('S1', 'S0')	0.009692178225603655	0.001358457122292804	0.006694855343736343	0.019076026738673438	0.009395434250753343	0.02940421885947298	0.029907043382472846	0.009692178225603655
Prog_739	GMP	#10b460	21	(81, 6)	('S5', 'S3')	0.0012245227043618534	0.0008583879815610193	0.021484840811374785	0.009103669416437688	0.024185419718391783	0.0012245227043618534	0.019934686060237093	0.03787187438071478
Prog_745	CMP	#d84f40	36	(81, 6)	('S5', 'S3')	0.0029311264925302944	0.00024211512890971894	0.019778237023206344	0.007397065628269248	0.022478815930223342	0.0029311264925302944	0.018228082272068652	0.036165270592546345
Prog_751	MEP	#286ee1	30	(82, 6)	('S4', 'S3')	0.00694184435459152	0.0003127636364399026	0.01627034368414498	0.003889172289207885	0.01897092259116198	0.014217364410007427	0.00694184435459152	0.03265737725348498
Prog_757	MEP	#286ee1	33	(82, 6)	('S4', 'S3')	0.00915491584731076	0.0007154761107911703	0.01405727219142574	0.0016761007964886457	0.01675785109844274	0.012004292917288188	0.00915491584731076	0.03044430576076574
Prog_721	MEP	#286ee1	26	(82, 6)	('S4', 'S3')	0.005344842265612786	0.00013896374787278397	0.017867345773123714	0.005486174378186619	0.020567924680140716	0.01581436649898616	0.005344842265612786	0.03425437934246371
Prog_728	CMP	#d84f40	24	(83, 1)	('S1', 'S0')	0.009935139592809273	0.0009838931461260453	0.0064518939765307246	0.018833065371467818	0.009152472883547726	0.029161257492267362	0.029664082015267226	0.009935139592809273
Prog_734	MEP	#286ee1	41	(82, 6)	('S4', 'S3')	0.008039507494426787	0.0006913837305834927	0.015172680544309713	0.0027915091493726178	0.017873259451326715	0.01311970127017216	0.008039507494426787	0.03155971411364971
Prog_740	MEP	#286ee1	41	(82, 6)	('S4', 'S3')	0.008298211364430805	0.00020916320743023188	0.014913976674305695	0.0025328052793686003	0.017614555581322695	0.012860997400168142	0.008298211364430805	0.03130101024364569
Prog_746	MEP	#286ee1	30	(82, 6)	('S4', 'S3')	0.006834575301109718	0.00043739809608524233	0.016377612737626782	0.003996441342689687	0.019078191644643784	0.01432463346348923	0.006834575301109718	0.03276464630696678
Prog_752	MEP	#286ee1	33	(82, 6)	('S4', 'S3')	0.008836093836306154	0.000479257908502609	0.014376094202430346	0.0019949228074932508	0.017076673109447348	0.012323114928292793	0.008836093836306154	0.030763127771770343
Prog_758	MEP	#286ee1	38	(82, 6)	('S4', 'S3')	0.007636621032822926	0.0004601286520260161	0.015575567005913574	0.0031943956109764787	0.018276145912930572	0.01352258773177602	0.007636621032822926	0.031962600575253575
LT-HSC_200	LTHSC	#40bdbd	4	(83, 1)	('S1', 'S0')	0.0032003021070380645	4.819661751320316e-05	0.013186731462301933	0.025567902857239026	0.015887310369318935	0.03589609497803857	0.036398919501038435	0.0032003021070380645
Prog_722	CMP	#d84f40	11	(82, 6)	('S4', 'S3')	0.0061214505496797345	0.00019136314786036306	0.017090737489056766	0.0047095660941196705	0.019791316396073767	0.015037758214919213	0.0061214505496797345	0.03347777105839676
Prog_729	MEP	#286ee1	65	(6, 1)	('S3', 'S0')	0.0022716669693453816	0.0009043701285525087	0.010109504425591713	0.0022716669693453816	0.012810083332608715	0.012599859090144924	0.013102683613144787	0.02649653799493171
Prog_735	CMP	#d84f40	32	(6, 1)	('S3', 'S0')	0.006123585061748398	0.0014549269716399907	0.006257586333188697	0.006123585061748398	0.008958165240205698	0.01645177718254794	0.016954601705547804	0.022644619902528695
Prog_747	CMP	#d84f40	45	(81, 6)	('S5', 'S3')	0.004548346454498274	0.001275868426819171	0.018161017061238363	0.005779845666301268	0.02086159596825536	0.004548346454498274	0.01661086231010067	0.034548050630578364
Prog_753	CMP	#d84f40	44	(6, 1)	('S3', 'S0')	0.006714092136430723	0.0019323802770325545	0.005667079258506372	0.006714092136430723	0.008367658165523373	0.017042284257230266	0.017545108780230127	0.02205411282784637
Prog_759	CMP	#d84f40	41	(82, 6)	('S4', 'S3')	0.008241895674919536	0.0004539030649750985	0.014970292363816964	0.002589120968879869	0.017670871270833964	0.012917313089679411	0.008241895674919536	0.03135732593315696
LT-HSC_201	LTHSC	#40bdbd	10	(83, 1)	('S1', 'S0')	0.0047014239405687875	3.4077700405676734e-05	0.01168560962877121	0.024066781023708305	0.01438618853578821	0.034394973144507845	0.03489779766750771	0.0047014239405687875
Prog_723	MEP	#286ee1	26	(82, 6)	('S4', 'S3')	0.0053587384439572365	0.0003869948546507627	0.017853449594779264	0.0054722781998421685	0.020554028501796263	0.01580047032064171	0.0053587384439572365	0.03424048316411926
Prog_730	MEP	#286ee1	26	(82, 6)	('S4', 'S3')	0.005447683531519391	0.0002138402699042219	0.01776450450721711	0.005383333112280014	0.020465083414234107	0.015711525233079556	0.005447683531519391	0.03415153807655711
Prog_736	MEP	#286ee1	79	(82, 6)	('S4', 'S3')	0.01026800870510275	0.0016801652258969417	0.01294417933363375	0.0005630079386966542	0.01564475824065075	0.010891200059496196	0.01026800870510275	0.029331212902973747
Prog_748	GMP	#10b460	14	(6, 1)	('S3', 'S0')	0.004400729255995543	0.0015634479584523864	0.007980442138941552	0.004400729255995543	0.010681021045958552	0.014728921376795085	0.015231745899794948	0.02436747570828155
Prog_754	CMP	#d84f40	35	(6, 1)	('S3', 'S0')	0.004797491852721875	0.001943970679057502	0.00758367954221522	0.004797491852721875	0.010284258449232222	0.015125683973521417	0.01562850849652128	0.023970713111555218
Prog_760	GMP	#10b460	77	(6, 1)	('S3', 'S0')	0.000526573099941988	0.00016645629829810935	0.011854598294995107	0.000526573099941988	0.014555177202012107	0.01085476522074153	0.011357589743741393	0.028241631864335107
Prog_724	CMP	#d84f40	43	(81, 6)	('S5', 'S3')	0.004243208895750209	0.0012303532026881777	0.01846615461998643	0.006084983225049333	0.021166733527003427	0.004243208895750209	0.016915999868848737	0.03485318818932643
Prog_731	MEP	#286ee1	26	(82, 6)	('S4', 'S3')	0.005351842724315503	4.644902568330013e-05	0.017860345314420996	0.005479173919483902	0.020560924221437998	0.015807366040283443	0.005351842724315503	0.034247378883761
Prog_737	MEP	#286ee1	77	(6, 1)	('S3', 'S0')	0.0002656782241940222	0.0010520835070915522	0.012115493170743072	0.0002656782241940222	0.014816072077760072	0.010593870344993565	0.011096694867993428	0.02850252674008307
Prog_743	CMP	#d84f40	45	(81, 6)	('S5', 'S3')	0.004548346454498274	0.00037191324530571186	0.018161017061238363	0.005779845666301268	0.02086159596825536	0.004548346454498274	0.01661086231010067	0.034548050630578364
Prog_749	MEP	#286ee1	38	(82, 6)	('S4', 'S3')	0.007466586548945157	0.0004445890856448857	0.015745601489791344	0.0033644300948542484	0.018446180396808343	0.013692622215653791	0.007466586548945157	0.032132635059131345
Prog_761	CMP	#d84f40	48	(6, 1)	('S3', 'S0')	0.005481357147322608	0.0008744516336803368	0.006899814247614487	0.005481357147322608	0.009600393154631487	0.01580954926812215	0.016312373791122013	0.023286847816954483
Prog_725	CMP	#d84f40	29	(83, 1)	('S1', 'S0')	0.011601693437143701	0.00017990770192450163	0.004785340132196296	0.01716651152713339	0.007485919039213297	0.027494703647932932	0.027997528170932796	0.011601693437143701
Prog_732	GMP	#10b460	64	(6, 1)	('S3', 'S0')	0.0023389498698741782	0.0016951624023275882	0.010042221525062917	0.0023389498698741782	0.012742800432079919	0.01266714199067372	0.013169966513673583	0.026429255094402915
